iter	Passed	Remaining
0	297	29421
1	377	18514
2	393	12729
3	456	10952
4	471	8959
5	527	8266
6	545	7243
7	615	7075
8	705	7130
9	745	6709
10	818	6621
11	837	6143
12	878	5876
13	891	5473
14	904	5125
15	931	4889
16	950	4639
17	971	4427
18	993	4233
19	1010	4042
20	1024	3855
21	1045	3708
22	1064	3563
23	1106	3502
24	1120	3361
25	1132	3224
26	1181	3195
27	1195	3073
28	1207	2957
29	1225	2860
30	1246	2774
31	1267	2694
32	1280	2600
33	1298	2520
34	1317	2446
35	1330	2366
36	1342	2286
37	1368	2232
38	1383	2163
39	1416	2124
40	1429	2056
41	1442	1991
42	1470	1949
43	1484	1889
44	1507	1842
45	1520	1784
46	1531	1726
47	1577	1709
48	1593	1658
49	1625	1625
50	1640	1576
51	1684	1555
52	1696	1504
53	1721	1466
54	1739	1422
55	1759	1382
56	1777	1340
57	1790	1296
58	1817	1262
59	1834	1222
99	1278
61	2054	1259
62	2071	1216
63	2086	1173
64	2137	1150
65	2158	1111
66	2177	1072
67	2216	1043
68	2232	1003
69	2255	966
70	2273	928
71	2298	893
72	2312	855
73	2329	818
74	2343	781
75	2383	752
76	2400	717
77	2417	681
78	2430	645
79	2453	613
80	2487	583
81	2505	549
82	2539	520
83	2560	487
84	2583	455
408	392
86	2426	362
87	2445	333
88	2469	305
89	2498	277
90	2528	250
91	2545	221
92	2560	192
93	2586	165
94	2610	137
95	2628	109
96	2646	81
97	2662	54
98	2681	27
99	2703	0
