iter	Logloss
0	0.6686588876
1	0.6490154154
2	0.6292110998
3	0.6148100837
4	0.5994150197
5	0.5852034719
6	0.5706983725
7	0.5597643722
8	0.5487035616
9	0.5394211376
10	0.5307069063
11	0.5245404467
12	0.5180408262
13	0.5121347356
14	0.5071139683
15	0.5017277732
16	0.4966707425
17	0.4907284237
18	0.4870542557
19	0.4816064326
20	0.4758850129
21	0.4724141138
22	0.4698728517
23	0.4663899529
24	0.4623040508
25	0.4594026098
26	0.4567697317
27	0.453862155
28	0.4516696667
29	0.4492797517
30	0.4464074061
31	0.4448382107
32	0.4429836084
33	0.4410333484
34	0.4389967375
35	0.4367702034
36	0.4354035525
37	0.4334824368
38	0.4319524621
39	0.4297724042
40	0.4283415831
41	0.4270588009
42	0.4248036011
43	0.4236890459
44	0.4223695058
45	0.4214388445
46	0.4206131462
47	0.4189280079
48	0.4174293579
49	0.4165643599
50	0.4152712529
51	0.4141826857
52	0.4132822856
53	0.4120245265
54	0.4114647132
55	0.4102726113
56	0.409179682
57	0.4074510978
58	0.4068438718
59	0.4061015218
60	0.405383025
61	0.40442562
62	0.4037157328
63	0.403047168
64	0.4024426716
65	0.4017623426
66	0.4009432653
67	0.4002251654
68	0.3997182748
69	0.3990731902
70	0.3987040494
71	0.3981966355
72	0.3972915718
73	0.3964863363
74	0.3954146796
75	0.3946361464
76	0.394046666
77	0.3936449221
78	0.3932048322
79	0.3924979909
80	0.3918716164
81	0.391338949
82	0.3909960694
83	0.390493455
84	0.3899471163
85	0.3894902
86	0.3890829356
87	0.3887336457
88	0.3885648514
89	0.3879019729
90	0.3875441726
91	0.3869814979
92	0.3866830796
93	0.3864090771
94	0.3859993951
95	0.3856045628
96	0.3850940753
97	0.3848316571
98	0.3838971789
99	0.3835456642
100	0.3831251499
101	0.3819093022
102	0.3814639274
103	0.3810277417
104	0.3807943146
105	0.3805080121
106	0.3802731839
107	0.3798705392
108	0.3795133093
109	0.3789505324
110	0.3786212532
111	0.3783615655
112	0.3780811395
113	0.3773223148
114	0.3771143517
115	0.3767804641
116	0.3760446176
117	0.3759544242
118	0.3757248724
119	0.3754629025
120	0.3750581984
121	0.3744274481
122	0.3741146028
123	0.373680614
124	0.3730629618
125	0.3724809406
126	0.3718360244
127	0.3715780938
128	0.3713915939
129	0.3712168226
130	0.3709810106
131	0.3707153455
132	0.3704469187
133	0.3702558274
134	0.3700726971
135	0.3697600488
136	0.3695530925
137	0.3691165773
138	0.3689319486
139	0.368711215
140	0.368524819
141	0.3682157184
142	0.3677991153
143	0.3665778449
144	0.3662242487
145	0.3659125878
146	0.3650413939
147	0.364669275
148	0.364377163
149	0.3641354647
150	0.3637561967
151	0.363426701
152	0.3631650644
153	0.3630182186
154	0.3628156353
155	0.3621516759
156	0.3617450023
157	0.3614970493
158	0.3612424445
159	0.3610046301
160	0.3606714342
161	0.3604805828
162	0.3602272116
163	0.3599987576
164	0.3598177031
165	0.3594446967
166	0.3588320917
167	0.3586000225
168	0.3582948152
169	0.3580059283
170	0.3577218743
171	0.3574162899
172	0.3570876896
173	0.3568740288
174	0.356639293
175	0.3561053314
176	0.355770501
177	0.3553572462
178	0.3550188623
179	0.3543777027
180	0.3537484246
181	0.3535225298
182	0.3532237602
183	0.3527232783
184	0.3524553314
185	0.3521126106
186	0.3518948207
187	0.3515787242
188	0.351370387
189	0.35102806
190	0.3508392235
191	0.3503978048
192	0.3501605047
193	0.3500015939
194	0.3495870225
195	0.349390223
196	0.3491526347
197	0.3487722281
198	0.3482303384
199	0.3479509792
