iter	Passed	Remaining
0	8	1595
1	15	1569
2	24	1604
3	33	1634
4	40	1588
5	47	1540
6	54	1512
7	62	1496
8	69	1474
9	76	1461
10	84	1449
11	92	1452
12	99	1434
13	106	1420
14	113	1402
15	121	1394
16	128	1388
17	139	1408
18	146	1396
19	154	1390
20	161	1376
21	170	1378
22	177	1365
23	186	1367
24	193	1354
25	201	1346
26	208	1333
27	216	1327
28	224	1321
29	232	1315
30	239	1303
31	247	1298
32	254	1290
33	262	1283
34	269	1272
35	278	1267
36	286	1262
37	294	1253
38	300	1241
39	308	1232
40	315	1223
41	324	1220
42	331	1211
43	340	1205
44	347	1197
45	355	1191
46	363	1182
47	370	1172
48	376	1161
49	384	1152
50	391	1143
51	399	1137
52	407	1128
53	415	1123
54	422	1113
55	430	1105
56	436	1096
57	444	1088
58	451	1080
59	459	1072
60	466	1062
61	473	1054
62	481	1047
63	488	1039
64	496	1030
65	503	1022
66	511	1015
67	519	1007
68	526	999
69	532	989
70	540	981
71	547	972
72	555	965
73	562	958
74	570	950
75	578	944
76	587	938
77	593	928
78	600	919
79	607	911
80	615	904
81	623	897
82	631	889
83	638	882
84	649	879
85	658	873
86	666	866
87	676	860
88	684	853
89	712	870
90	721	864
91	729	856
92	738	850
93	747	842
94	756	835
95	763	827
96	772	819
97	779	811
98	787	803
99	794	794
100	802	786
101	810	779
102	818	770
103	825	762
104	832	753
105	839	744
106	846	735
107	853	726
108	860	718
109	867	709
110	874	701
111	881	692
112	888	684
113	896	676
114	904	668
115	910	659
116	917	650
117	923	642
118	931	633
119	938	625
120	945	617
121	952	608
122	959	600
123	967	592
124	974	584
125	982	577
126	989	568
127	996	560
128	1017	559
129	1022	550
130	1029	542
131	1037	534
132	1044	526
133	1052	518
134	1058	509
135	1065	501
136	1072	493
137	1080	485
138	1087	477
139	1094	469
140	1101	460
141	1108	452
142	1116	444
143	1122	436
144	1128	427
145	1133	419
146	1139	410
147	1145	402
148	1151	393
149	1156	385
150	1162	377
151	1168	369
152	1174	360
153	1180	352
154	1186	344
155	1192	336
156	1197	328
157	1203	319
158	1209	311
159	1215	303
160	1221	295
161	1228	288
162	1234	280
163	1241	272
164	1247	264
165	1252	256
166	1259	248
167	1265	241
168	1272	233
169	1278	225
170	1285	217
171	1291	210
172	1298	202
173	1304	194
174	1310	187
175	1317	179
176	1324	172
177	1331	164
178	1337	156
179	1343	149
180	1350	141
181	1356	134
182	1363	126
183	1369	119
184	1376	111
185	1382	104
186	1389	96
187	1395	89
188	1401	81
189	1407	74
190	1413	66
191	1420	59
192	1426	51
193	1432	44
194	1439	36
195	1445	29
196	1451	22
197	1457	14
198	1463	7
199	1470	0
